SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
BR165	endosperm	Mo17xB73	27DAP	3	TRUE	14840064	102
BR166	coleoptile	B73	tip	1	TRUE	12267403	102
BR167	coleoptile	B73	tip	2	TRUE	11485549	102
BR168	coleoptile	B73	tip	3	TRUE	12399486	102
BR169	coleoptile	Mo17	tip	1	TRUE	11947303	102
BR170	coleoptile	Mo17	tip	2	TRUE	12242354	102
BR171	coleoptile	Mo17	tip	3	TRUE	13259951	102
BR172	coleoptile	B73xMo17	tip	1	TRUE	12391702	102
BR173	coleoptile	B73xMo17	tip	2	TRUE	12048829	102
BR174	coleoptile	B73xMo17	tip	3	TRUE	12187226	102
BR175	root	B73	radicle	1	TRUE	12295498	102
BR176	root	B73	radicle	2	TRUE	11534982	102
BR177	root	B73	radicle	3	TRUE	10646209	102
BR178	root	Mo17	radicle	1	TRUE	12066875	102
BR179	root	Mo17	radicle	2	TRUE	11661817	102
BR180	root	Mo17	radicle	3	TRUE	10959894	102
BR181	root	B73xMo17	radicle	1	TRUE	13122821	102
BR182	root	B73xMo17	radicle	2	TRUE	12468832	102
BR183	root	B73xMo17	radicle	3	TRUE	11587217	102
BR184	embryo	B73	imbibedseed	1	TRUE	16521544	102
BR242	embryo	B73	imbibedseed	2	TRUE	18100445	102
BR243	embryo	B73	imbibedseed	3	TRUE	16539617	102
BR245	embryo	Mo17	imbibedseed	1	TRUE	15060983	102
BR188	embryo	Mo17	imbibedseed	2	TRUE	19136137	102
BR227	embryo	Mo17	imbibedseed	3	TRUE	10606785	102
BR230	embryo	B73xMo17	imbibedseed	1	TRUE	93569	102
BR191	embryo	B73xMo17	imbibedseed	2	TRUE	12528211	102
BR192	embryo	B73xMo17	imbibedseed	3	TRUE	16939295	102
BR193	leaf	B73	seedling_11DAS	1	TRUE	12931365	102
BR194	leaf	B73	seedling_11DAS	2	TRUE	12993398	102
BR195	leaf	B73	seedling_11DAS	3	TRUE	12944343	102
BR196	leaf	Mo17	seedling_11DAS	1	TRUE	13154046	102
BR197	leaf	Mo17	seedling_11DAS	2	TRUE	14456660	102
BR198	leaf	Mo17	seedling_11DAS	3	TRUE	12627543	102
BR199	leaf	B73xMo17	seedling_11DAS	1	TRUE	13369929	102
BR200	leaf	B73xMo17	seedling_11DAS	2	TRUE	12269095	102
BR201	leaf	B73xMo17	seedling_11DAS	3	TRUE	16931135	102
BR202	root	B73	seedling_11DAS	1	TRUE	14286923	102
BR203	root	B73	seedling_11DAS	2	TRUE	13799806	102
BR204	root	B73	seedling_11DAS	3	TRUE	12973928	102
BR187	embryo	Mo17	imbibedseed	4	TRUE	12018006	102
BR206	root	Mo17	seedling_11DAS	1	TRUE	11969669	102
BR207	root	Mo17	seedling_11DAS	2	TRUE	18503	102
BR208	root	B73xMo17	seedling_11DAS	1	TRUE	14247885	102
BR209	root	B73xMo17	seedling_11DAS	2	TRUE	12311137	102
BR235	embryo	B73	imbibedseed	4	TRUE	14938224	102
BR211	meristem	B73	seedling_11DAS	1	TRUE	15300678	102
BR212	meristem	B73	seedling_11DAS	2	TRUE	13228641	102
BR213	meristem	B73	seedling_11DAS	3	TRUE	14690786	102
BR214	meristem	Mo17	seedling_11DAS	1	TRUE	17091762	102
BR215	meristem	Mo17	seedling_11DAS	2	TRUE	14961784	102
BR216	meristem	Mo17	seedling_11DAS	3	TRUE	14085672	102
BR217	meristem	B73xMo17	seedling_11DAS	1	TRUE	15456137	102
BR218	meristem	B73xMo17	seedling_11DAS	2	TRUE	14791193	102
BR219	meristem	B73xMo17	seedling_11DAS	3	TRUE	13255400	102
